Title,Year,IMDB rating,Metascore,Votes,Description,Type
Pewnego razu w Hollywood,(2019),8.2,84        ,93486,"
    A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.","
Comedy, Drama            "
Szybcy i wściekli: Hobbs i Shaw,(2019),6.8,60        ,50610,"
    Lawman Luke Hobbs and outcast Deckard Shaw form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.","
Action, Adventure            "
Król Lew,(2019),7.1,55        ,86076,"
    After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.","
Animation, Adventure, Drama            "
Avengers: Koniec gry,(2019),8.6,78        ,527514,"
    After the devastating events of Avengers: Wojna bez granic (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","
Action, Adventure, Sci-Fi            "
Upiorne opowiesci po zmroku,(2019),6.5,61        ,8802,"
    A group of teens face their fears in order to save their lives.","
Horror, Mystery, Thriller            "
Dora i Miasto Zlota,(2019),5.9,62        ,2818,"
    Dora, a teenage explorer, leads her friends on an adventure to save her parents and solve the mystery behind a lost city of gold.","
Adventure, Family            "
Aladyn,(2019),7.2,53        ,105740,"
    A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.","
Adventure, Family, Fantasy            "
Spider-Man: Daleko od domu,(2019),7.9,69        ,151522,"
    Following the events of Avengers: Koniec gry (2019), Spider-Man must step up to take on new threats in a world that has changed forever.","
Action, Adventure, Sci-Fi            "
Alita: Battle Angel,(2019),7.4,53        ,146155,"
    A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is.","
Action, Adventure, Sci-Fi            "
Mamusie bez synusiów,(2019),6.1,37        ,4822,"
    A grounded, soulful, celebratory comedy about three mothers and their adult sons. The film explores the stage after motherhood, Otherhood, when you have to redefine your relationship with your children, friends, spouse, and most importantly, yourself.","
Comedy            "
Midsommar. W bialy dzien,(2019),7.6,73        ,31943,"
    A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.","
Drama, Horror, Mystery            "
Brightburn: Syn ciemnosci,(2019),6.2,44        ,33615,"
    What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?","
Horror, Sci-Fi            "
Sztuka scigania sie w deszczu,(2019),7.3,43        ,1837,"
    Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.","
Comedy, Drama, Sport            "
Królowe zbrodni,(2019),5.2,36        ,1932,"
    The wives of New York gangsters in Hell's Kitchen in the 1970s continue to operate their husbands' rackets after they're locked up in prison.","
Action, Crime, Drama            "
Niedobrani,(2019),7.0,67        ,37117,"
    Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.","
Comedy, Romance            "
Shazam!,(2019),7.2,70        ,165617,"
    We all have a superhero inside us, it just takes a bit of magic to bring it out. In Billy Batson's case, by shouting out one word - SHAZAM - this streetwise fourteen-year-old foster kid can turn into the grown-up superhero Shazam.","
Action, Adventure, Comedy            "
The Peanut Butter Falcon,(2019),7.5,67        ,853,"
    Zak runs away from his care home to make his dream of becoming a wrestler come true.","
Adventure            "
The Peanut Butter Falcon,(2019),7.5,67        ,853,"
    Zak runs away from his care home to make his dream of becoming a wrestler come true.","
Adventure            "
Toy Story 4,(2019),8.2,84        ,83014,"
    When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.","
Animation, Adventure, Comedy            "
Rocketman,(2019),7.5,69        ,53823,"
    A musical fantasy about the fantastical human story of Elton John's breakthrough years.","
Biography, Drama, Music            "
Grzeczni chlopcy,(2019),6.7,59        ,3524,"
    Three sixth grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party.","
Adventure, Comedy            "
Honey Boy,(2019),6.1,64        ,314,"
    From a screenplay by Shia LaBeouf, based on his own experiences, filmmaker Alma Har'el brings to life a young actor's stormy childhood and early adult years as he struggles to reconcile with his father and deal with his mental health.","
Drama            "
Faworyta,(2018),7.6,90        ,126209,"
    In early 18th century England, a frail Queen Anne occupies the throne and her close friend, Lady Sarah, governs the country in her stead. When a new servant, Abigail, arrives, her charm endears her to Sarah.","
Biography, Drama, History            "
Oszustki,(2019),5.3,35        ,14321,"
    Anne Hathaway and Rebel Wilson star as female scam artists, one low rent and the other high class, who team up to take down the men who have wronged them.","
Comedy, Crime            "
Brian Banks,(2018),6.5,58        ,447,"
    A football player's dreams to play in the NFL are halted when he is wrongly convicted and sent to prison. Years later, he fights to clear his name within an unjust system.","
Biography, Drama, Sport            "
A Score to Settle,(2019),4.5,37        ,984,"
    An ex-enforcer for a local crime syndicate has vowed to enact retribution on his mob bosses after 22 years of wrongful imprisonment. The only thing diverting his violent plans is a new found relationship to his beloved son.","
Action, Drama, Thriller            "
